Domain,IP Address
industryhub.rmit.edu.vn,103.253.91.29
learning.rmit.edu.vn,103.77.162.8
lms.rmit.edu.vn,103.253.91.29
payments.rmit.edu.vn,104.18.21.88
rbpc.rmit.edu.vn,199.36.158.100
rivercitiesarchive.rmit.edu.vn,103.253.91.29
srms.rmit.edu.vn,4.193.128.124
password-assistance.rmit.edu.vn,103.253.91.29
findaresearcher.rmit.edu.vn,103.253.91.29
sbcsprdap85.rmit.edu.vn,103.144.84.153
sbcsprdap81.rmit.edu.vn,103.253.91.28
srs-docs.rmit.edu.vn,Resolution Failed
teachertalks.rmit.edu.vn,23.236.62.147
libtutorials.rmit.edu.vn,103.253.88.36
sglprdrevrprx01.rmit.edu.vn,103.253.91.29
master-of-global-trade.rmit.edu.vn,171.244.39.11
sglprdalumweb1.rmit.edu.vn,103.253.91.24
ns1.rmit.edu.vn,103.253.91.22
ocs-ng.rmit.edu.vn,Resolution Failed
pnt-wl-drweb5.rmit.edu.vn,Resolution Failed
dns2.rmit.edu.vn,Resolution Failed
ns2.rmit.edu.vn,103.144.84.150
rmitlibraryvn.rmit.edu.vn,216.147.220.65
vpn.rmit.edu.vn,103.253.88.6
sgs-wl-web5.rmit.edu.vn,Resolution Failed
vpn2.rmit.edu.vn,103.253.88.4
sgs-wl-mekong2.rmit.edu.vn,Resolution Failed
sgs-aw-spydus01.rmit.edu.vn,Resolution Failed
sgs-aw-hrapp1.rmit.edu.vn,103.253.88.38
drwprdhrapp01.rmit.edu.vn,210.245.97.71
sgs-wl-omeka.rmit.edu.vn,103.253.88.36
password.rmit.edu.vn,Resolution Failed
sgs-wl-sleapp1.rmit.edu.vn,103.253.88.40
pnt-wl-wcpsvc.rmit.edu.vn,210.245.97.72
pnt-wl-drweb3.rmit.edu.vn,Resolution Failed
english.rmit.edu.vn,103.253.88.35
email.rmit.edu.vn,167.89.123.54
alumninetwork.rmit.edu.vn,103.253.91.24
sgs-wl-dls.rmit.edu.vn,Resolution Failed
sglprdstudlab01.rmit.edu.vn,103.253.91.23
mytimetable.rmit.edu.vn,52.62.164.158
studentlab1.rmit.edu.vn,103.253.91.23
online-archived.rmit.edu.vn,Resolution Failed
democlass.rmit.edu.vn,103.253.88.35
experienceday.rmit.edu.vn,103.253.91.29
apps.rmit.edu.vn,103.253.91.29
ave.rmit.edu.vn,Resolution Failed
blackboard.rmit.edu.vn,103.253.91.29
careerhub.rmit.edu.vn,Resolution Failed
careers.rmit.edu.vn,20.225.187.144
crm.rmit.edu.vn,Resolution Failed
dialin.rmit.edu.vn,Resolution Failed
election.rmit.edu.vn,Resolution Failed
ems.rmit.edu.vn,Resolution Failed
helpdesk.rmit.edu.vn,103.253.91.29
itop.rmit.edu.vn,Resolution Failed
lyncdiscover.rmit.edu.vn,Resolution Failed
mekong.rmit.edu.vn,Resolution Failed
mekong1.rmit.edu.vn,Resolution Failed
minio.rmit.edu.vn,103.253.88.40
myperformance.rmit.edu.vn,103.253.88.38
oes.rmit.edu.vn,103.253.91.29
orsee.rmit.edu.vn,Resolution Failed
sgs-ml-smtp.rmit.edu.vn,103.253.88.4
sgs-wl-web3.rmit.edu.vn,Resolution Failed
sgs-ww-livesrv.rmit.edu.vn,Resolution Failed
sip.rmit.edu.vn,Resolution Failed
skooprdap81.rmit.edu.vn,Resolution Failed
skooprdap85.rmit.edu.vn,Resolution Failed
skypeexternal81.rmit.edu.vn,Resolution Failed
skypeexternal85.rmit.edu.vn,Resolution Failed
sso.rmit.edu.vn,Resolution Failed
staff.rmit.edu.vn,Resolution Failed
wce.rmit.edu.vn,Resolution Failed
webems.rmit.edu.vn,Resolution Failed
sts.rmit.edu.vn,Resolution Failed
autodiscover.rmit.edu.vn,Resolution Failed
hress.rmit.edu.vn,103.253.88.47
sas.rmit.edu.vn,103.253.91.29
pathways.rmit.edu.vn,103.253.88.40
ielts.rmit.edu.vn,Resolution Failed
pe.rmit.edu.vn,108.157.38.58
omeka.rmit.edu.vn,103.253.88.36
typographyvn.rmit.edu.vn,103.253.88.45
dns1.rmit.edu.vn,Resolution Failed
event.rmit.edu.vn,23.236.62.147
ssodr.rmit.edu.vn,Resolution Failed
appsdr.rmit.edu.vn,210.245.97.72
staffdr.rmit.edu.vn,210.245.97.72
emsdr.rmit.edu.vn,210.245.97.72
oesdr.rmit.edu.vn,210.245.97.72
stsstg.rmit.edu.vn,Resolution Failed
crmdr.rmit.edu.vn,210.245.97.72
sgs-wl-studweb.rmit.edu.vn,Resolution Failed
emedia.rmit.edu.vn,103.253.91.29
dlt.rmit.edu.vn,Resolution Failed
design.rmit.edu.vn,173.203.204.123
infosession.rmit.edu.vn,34.149.87.45
chame.rmit.edu.vn,192.0.78.153
rivf2020.rmit.edu.vn,192.0.78.13
rmit.edu.vn,103.253.91.29
etal.rmit.edu.vn,173.203.204.123
rmitenglishevent.rmit.edu.vn,23.236.62.147
mekong2.rmit.edu.vn,Resolution Failed
online.rmit.edu.vn,Resolution Failed
learninglab.rmit.edu.vn,103.253.91.29
dls.rmit.edu.vn,Resolution Failed
library.rmit.edu.vn,103.253.91.29
www.rmit.edu.vn,108.157.38.117
